date,open,high,low,close,Adj Close,volume,rsi
2002-04-02,113.980003,114.949997,113.769997,113.940002,76.63681,15669500,46.88
2002-04-03,114.010002,114.209999,112.160004,113.139999,76.098755,25658500,43.13
2002-04-04,112.599998,113.400002,112.230003,112.669998,75.782639,23549000,41.05
2002-04-05,113.190002,113.629997,112.18,112.690002,75.796074,19404900,41.18
2002-04-08,111.32,113.029999,111.230003,112.93,75.957497,16470100,42.81
2002-04-09,113.18,113.18,111.93,112.139999,75.426163,15122700,38.99
2002-04-10,112.099998,113.540001,112.089996,113.410004,76.280357,17199300,47.16
2002-04-11,112.889999,113.050003,110.5,110.589996,74.383583,25453700,35.72
2002-04-12,111.019997,111.650002,110.040001,111.419998,74.941872,14950600,40.31
2002-04-15,111.620003,111.860001,110.199997,110.57,74.370155,17394900,37.37
2002-04-16,111.699997,113.32,111.669998,113.199997,76.139145,15040900,49.62
2002-04-17,113.389999,113.669998,112.599998,112.959999,75.977669,12920100,48.68
2002-04-18,112.900002,113.459999,111.150002,112.470001,75.648109,25204800,46.74
2002-04-19,113.199997,113.239998,112.559998,112.879997,75.923874,10499200,48.59
2002-04-22,112.379997,112.43,110.839996,111.0,74.659393,13922900,41.49
2002-04-23,111.089996,111.480003,110.169998,110.519997,74.33654,16967000,39.89
2002-04-24,110.559998,111.809998,109.400002,109.410004,73.589874,18902700,36.39
2002-04-25,109.209999,109.739998,108.720001,109.470001,73.630287,25451500,36.71
2002-04-26,109.790001,110.010002,107.290001,107.389999,72.231262,19769800,30.86
2002-04-29,107.93,108.260002,106.629997,106.860001,71.874763,17724400,29.57
2002-04-30,107.019997,108.639999,106.639999,107.860001,72.547394,19473500,35.09
2002-05-01,107.970001,109.25,106.800003,109.18,73.435257,24575600,41.61
2002-05-02,109.099998,109.910004,107.779999,108.760002,73.152718,15666800,40.23
2002-05-03,108.599998,108.760002,107.199997,107.580002,72.359039,18185500,36.55
2002-05-06,107.639999,107.989998,105.309998,105.470001,70.93985,23630400,31.08
